UOM_ID,UOM,Base_UOM,Base_Multiplier,Integrative
1,MWH,KWH,1000.000000000,1
2,KWH,KWH,1.000000000,1
3,WH,KWH,0.001000000,1
4,MVARH,KVARH,1000.000000000,1
5,KVARH,KVARH,1.000000000,1
6,VARH,KVARH,0.001000000,1
7,MVAR,KVAR,1000.000000000,0
8,KVAR,KVAR,1.000000000,0
9,VAR,KVAR,0.001000000,0
10,MW,KW,1000.000000000,0
11,KW,KW,1.000000000,0
12,W,KW,0.001000000,0
13,MVAH,KVAH,1000.000000000,1
14,KVAH,KVAH,1.000000000,1
15,VAH,KVAH,0.001000000,1
16,MVA,KVA,1000.000000000,0
17,KVA,KVA,1.000000000,0
18,VA,KVA,0.001000000,0
19,KV,KV,1.000000000,0
20,V,KV,0.001000000,0
21,KA,KA,1.000000000,0
22,A,KA,0.001000000,0
23,PF,PF,1.000000000,0
